Gross,IMDB_Rating,Director,Genre,Released_Year,No_of_Votes
9600000,8.1,Frank Capra,"Comedy, Drama",1939,107017
198676459,8.1,Victor Fleming,"Drama, History, Romance",1939,290074
172885,8.1,Jean Renoir,"Drama, War",1937,33829
4360000,8.1,Frank Capra,"Comedy, Romance",1934,94016
21877,8.1,Carl Theodor Dreyer,"Biography, Drama, History",1928,47676
23530892,8.1,Charles Chaplin,"Comedy, Romance",1928,30205
539540,8.1,F.W. Murnau,"Drama, Romance",1927,46865
1033895,8.1,Clyde Bruckman,"Action, Adventure, Comedy",1926,81156
23530892,8.1,Robert Wiene,"Fantasy, Horror, Mystery",1920,57428
23530892,8,Amit Ravindernath Sharma,"Comedy, Drama",2018,27978
23530892,8,Ericson Core,"Adventure, Biography, Drama",2019,37556
23530892,8,Raja Menon,"Drama, History",2016,52897
8178001,8,Kabir Khan,"Action, Adventure, Comedy",2015,72245
23530892,8,Neeraj Pandey,"Action, Crime, Thriller",2015,52848
151101803,8,Damien Chazelle,"Comedy, Drama, Music",2016,505918
51739495,8,Garth Davis,"Biography, Drama",2016,213970
228433663,8,Ridley Scott,"Adventure, Drama, Sci-Fi",2015,760094
341268248,8,Byron Howard,"Animation, Adventure, Comedy",2016,434143
6738000,8,S.S. Rajamouli,"Action, Drama",2015,102972
1506975,8,Isao Takahata,"Animation, Adventure, Drama",2013,38746
132422809,8,Stephen Chbosky,"Drama, Family",2017,141923
5566534,8,Zoya Akhtar,"Drama, Music, Romance",2019,31886
1079369,8,Neeraj Pandey,"Crime, Drama, Thriller",2013,51069
1010414,8,Destin Daniel Cretton,Drama,2013,81770
2625803,8,Gareth Evans,"Action, Crime, Thriller",2014,114316
91125683,8,Morten Tyldum,"Biography, Drama, Thriller",2014,685201
333176600,8,James Gunn,"Action, Adventure, Comedy",2014,1043455
92054159,8,Denis Villeneuve,"Action, Drama, Mystery",2017,461823
25568251,8,Spike Jonze,"Drama, Romance, Sci-Fi",2013,540772
216428042,8,Bryan Singer,"Biography, Drama, Music",2018,450349
183637894,8,Alejandro G. Iñárritu,"Action, Adventure, Drama",2015,705589
17738570,8,Stephen Chbosky,"Drama, Romance",2012,462252
100119,8,José Padilha,"Action, Crime, Drama",2010,79200
138797449,8,Tom Hooper,"Biography, Drama, History",2010,639603
169708112,8,Tate Taylor,Drama,2011,428521
363070709,8,Tim Miller,"Action, Adventure, Comedy",2016,902669
106662,8,Asghar Farhadi,"Drama, Mystery",2009,45803
10950,8,Anurag Kashyap,"Drama, Romance",2009,28749
23530892,8,Wilson Yip,"Action, Biography, Drama",2008,211427
4018695,8,Karan Johar,Drama,2010,98575
23530892,8,Levent Semerci,"Action, Drama, Thriller",2009,31838
141319928,8,Danny Boyle,"Drama, Romance",2008,798882
106954678,8,Darren Aronofsky,"Drama, Thriller",2010,699673
8060,8,José Padilha,"Action, Crime, Drama",2007,98097
623279547,8,Joss Whedon,"Action, Adventure, Sci-Fi",2012,1260806
4445756,8,Vincent Paronnaud,"Animation, Biography, Drama",2007,88656
27298285,8,Jean-Marc Vallée,"Biography, Drama",2013,441614
163566459,8,Gabriele Muccino,"Biography, Drama",2006,448930
57366262,8,Edward Zwick,"Adventure, Drama, Thriller",2006,499439
227471070,8,Paul Greengrass,"Action, Mystery, Thriller",2007,604694
238507,8,Ki-duk Kim,"Crime, Drama, Romance",2004,50610
74103820,8,Frank Miller,"Crime, Thriller",2005,738512
5990075,8,Julian Schnabel,"Biography, Drama",2007,103284
23530892,8,Ömer Faruk Sorak,"Adventure, Comedy, Sci-Fi",2004,56960
206445654,8,Brad Bird,"Animation, Adventure, Comedy",2007,641645
167445960,8,Martin Campbell,"Action, Adventure, Thriller",2006,582239
66208183,8,Quentin Tarantino,"Action, Crime, Thriller",2004,683900
502028,8,Andrey Zvyagintsev,Drama,2003,42399
2380788,8,Ki-duk Kim,"Drama, Romance",2003,77520
2086345,8,Alejandro Amenábar,"Biography, Drama",2014,77554
61649911,8,Ron Howard,"Biography, Drama, History",2005,176151
1787378,8,Nikkhil Advani,"Comedy, Drama, Musical",2003,63460
169659,8,Andrew Lau,"Action, Crime, Drama",2002,117857
305413918,8,Gore Verbinski,"Action, Adventure, Fantasy",2003,1015122
66257002,8,Tim Burton,"Adventure, Drama, Fantasy",2003,415218
261441092,8,Brad Bird,"Animation, Action, Adventure",2004,657047
23530892,8,Jae-young Kwak,"Comedy, Drama, Romance",2001,45403
1530386,8,Lars von Trier,"Crime, Drama",2003,137963
23530892,8,Yilmaz Erdogan,"Comedy, Drama",2001,33592
1480006,8,Richard Kelly,"Drama, Mystery, Sci-Fi",2001,740086
22455976,8,Paul Thomas Anderson,Drama,1999,289742
4184036,8,Lars von Trier,"Crime, Drama, Musical",2000,102285
6203044,8,David Lynch,"Biography, Drama",1999,82002
776665,8,Satoshi Kon,"Animation, Crime, Mystery",1997,58192
1647780,8,Thomas Vinterberg,Drama,1998,78341
5595428,8,Walter Salles,Drama,1998,36419
23159305,8,Brad Bird,"Animation, Action, Adventure",1999,172083
3296,8,Thomas Jahn,"Action, Crime, Comedy",1997,27721
24475416,8,Billy Bob Thornton,Drama,1996,86838
13417292,8,Mike Leigh,"Comedy, Drama",1996,37564
57141459,8,Terry Gilliam,"Mystery, Sci-Fi, Thriller",1995,578443
515905,8,Mamoru Oshii,"Animation, Action, Crime",1995,129231
75082668,8,Henry Selick,"Animation, Family, Fantasy",1993,300208
70906973,8,Harold Ramis,"Comedy, Fantasy, Romance",1993,577991
4496583,8,Taylor Hackford,"Crime, Drama",1993,28825
63895607,8,Martin Brest,Drama,1992,263918
217350219,8,Ron Clements,"Animation, Adventure, Comedy",1992,373845
70405498,8,Oliver Stone,"Drama, History, Thriller",1991,142110
218967620,8,Gary Trousdale,"Animation, Family, Fantasy",1991,417178
